L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
12,56,0.7,8.0,3,-3.6564445695542203,0.3860295431869029,-0.435301625291135,0.4136836726192962,0.7777777777777778
12,56,0.7,8.0,4,-3.7787612946446516,1.2389234917087388,-0.8474570659749373,0.9927328205711154,0.7777777777777778
12,56,0.7,8.0,5,-3.890867179109853,0.9665285684103063,-0.12154644735584412,0.259728954412305,0.7777777777777778
12,56,0.7,8.0,6,-3.344025076986817,0.8491763426955325,1.6298409749226341,-0.18898027567417355,0.7777777777777778
12,64,0.7,8.0,1,-2.1420491428686566,2.194158120768048,1.520089466207246,3.2626814979824608,0.8888888888888888
12,64,0.7,8.0,2,-2.359605890540513,2.462018742294617,0.8771725962440856,3.541219910087625,0.8888888888888888
12,64,0.7,8.0,3,-2.0770356891581403,2.026160226761294,0.5018738223144614,2.982342480894088,0.8888888888888888
12,64,0.7,8.0,4,-2.3488180342810234,2.431409323115912,1.9009550916893332,3.753618044104276,0.8888888888888888
12,64,0.7,8.0,5,-2.0928594558844336,2.0703028274829878,0.8346758075714587,3.2795669998465504,0.8888888888888888
12,64,0.7,8.0,6,-2.150856254876193,2.0256446736070615,0.9231157215416058,3.348180384634586,0.8888888888888888
12,72,0.7,8.0,1,-1.7292396610055978,2.841862656725712,1.2976459614818896,4.114690944799254,1.0
12,72,0.7,8.0,2,-1.852263707078837,3.295919626319596,1.980466767847919,4.460571243904745,1.0
12,72,0.7,8.0,3,-1.6450483196261778,2.8294399822897622,1.7794236060808135,4.234058924880413,1.0
12,72,0.7,8.0,4,-1.6610623470620793,2.9997367477093966,1.1905975044806847,3.8388345310623677,1.0
12,72,0.7,8.0,5,-1.6633800323507537,3.077270277825974,1.6787360646415248,4.296015801376292,1.0
12,72,0.7,8.0,6,-1.7059211102291822,3.1116988476995977,1.4351722273154235,4.504515577171977,1.0
