U,nup,delta,seed,Spipi,M,n
2.0,14,0.0,3,0.21004533450482174,0.45830703082630286,0.7777777777777778
2.0,14,0.1,1,0.20818730226300192,0.45627546752263803,0.7777777777777778
2.0,14,0.1,2,0.20937934293535704,0.45757987601658906,0.7777777777777778
2.0,14,0.1,3,0.20844806594864398,0.4565611305714099,0.7777777777777778
2.0,14,0.2,1,0.20279748239949483,0.45033041469513785,0.7777777777777778
2.0,14,0.2,2,0.20351540191456152,0.45112681356195344,0.7777777777777778
2.0,14,0.2,3,0.20327585397915837,0.4508612358355488,0.7777777777777778
2.0,14,0.3,1,0.22064177243315292,0.4697252094929044,0.7777777777777778
2.0,14,0.3,2,0.2246305387445678,0.47395204266314517,0.7777777777777778
2.0,14,0.3,3,0.22497665656545465,0.47431704224648585,0.7777777777777778
2.0,14,0.4,1,0.21525754947508138,0.4639585643945819,0.7777777777777778
2.0,14,0.4,2,0.21483756679225308,0.4635057354469878,0.7777777777777778
2.0,14,0.4,3,0.21238364560919026,0.4608510015278151,0.7777777777777778
2.0,16,0.0,1,0.23456402799999218,0.4843181062070591,0.8888888888888888
2.0,16,0.0,2,0.23750057840934882,0.48734031067555744,0.8888888888888888
2.0,16,0.0,3,0.2327482301670143,0.48243987207424543,0.8888888888888888
2.0,16,0.1,1,0.21094953037455752,0.45929242359803574,0.8888888888888888
2.0,16,0.1,2,0.21477861408671034,0.46344213671904105,0.8888888888888888
2.0,16,0.1,3,0.21167010042462203,0.4600761898040606,0.8888888888888888
2.0,16,0.2,1,0.2135497616139801,0.46211444644587785,0.8888888888888888
2.0,16,0.2,2,0.2157700779233021,0.4645105789143043,0.8888888888888888
2.0,16,0.2,3,0.21145660113578452,0.4598441052528395,0.8888888888888888
2.0,16,0.3,1,0.27982803095779657,0.5289877417840574,0.8888888888888888
2.0,16,0.3,2,0.28420334010037435,0.5331072500917375,0.8888888888888888
2.0,16,0.3,3,0.2890173933945213,0.5376033792625575,0.8888888888888888
2.0,16,0.4,1,0.19046803693747355,0.43642643931993114,0.8888888888888888
2.0,16,0.4,2,0.19289019364225282,0.4391926611889739,0.8888888888888888
2.0,16,0.4,3,0.1899330383970455,0.43581307735891256,0.8888888888888888
2.0,18,0.0,1,0.2699308961283744,0.5195487427839417,1.0
2.0,18,0.0,2,0.2649552525983727,0.5147380426958675,1.0
2.0,18,0.0,3,0.26207257802221773,0.5119302472234062,1.0
2.0,18,0.1,1,0.24773201703871955,0.4977268498270106,1.0
2.0,18,0.1,2,0.24974726265572875,0.4997471987472554,1.0
2.0,18,0.1,3,0.2548552337431089,0.5048318866148501,1.0
2.0,18,0.2,1,0.23289324055472646,0.48259013723316646,1.0
2.0,18,0.2,2,0.23834583633569859,0.48820675572517286,1.0
2.0,18,0.2,3,0.23742487909823992,0.48726263872601594,1.0
2.0,18,0.3,1,0.2252557943079391,0.4746112033106036,1.0
2.0,18,0.3,2,0.22863184212217025,0.4781546215631197,1.0
2.0,18,0.3,3,0.223700928777293,0.472970325472215,1.0
2.0,18,0.4,1,0.19324481955851835,0.4395962005733425,1.0
2.0,18,0.4,2,0.19402715662823294,0.44048513780629756,1.0
2.0,18,0.4,3,0.19411654924158195,0.44058659675662165,1.0
4.0,4,0.0,1,0.056052414556258465,0.2367539113853422,0.2222222222222222
4.0,4,0.0,2,0.05606523359340372,0.23678098233051514,0.2222222222222222
4.0,4,0.0,3,0.0558618768286739,0.23635117268309438,0.2222222222222222
4.0,4,0.1,1,0.05613241672482714,0.2369228075235205,0.2222222222222222
4.0,4,0.1,2,0.05612116544289865,0.23689906171806305,0.2222222222222222
4.0,4,0.1,3,0.05605953169876783,0.236768941583916,0.2222222222222222
4.0,4,0.2,1,0.055814772303112124,0.23625150222403268,0.2222222222222222
4.0,4,0.2,2,0.056090663129779686,0.23683467467788513,0.2222222222222222
4.0,4,0.2,3,0.05581889409929473,0.2362602253856851,0.2222222222222222
4.0,4,0.3,1,0.055708408124939504,0.23602628693630612,0.2222222222222222
