L,nup,delta,U,seed,apx,apy,chi_son_full,chi_son_vertex,chi_sext_full,chi_sext_vertex,chi_d_full,chi_d_vertex,chi_dxy_full,chi_dxy_vertex,n
12,72,0.24,2.0,3,1,1,9.48468291702375,-7.391141696013984,36.04200300940106,2.8950283421279783,67.86709780486581,1.1572824935103108,72.07816911633192,0.5466527652187109,1.0
12,72,0.24,2.0,4,1,1,9.518871883453556,-7.380166683048083,36.04807298847671,2.8879589367326792,67.97722883960787,1.2103149689113302,72.25689341533777,0.4261089986476542,1.0
12,72,0.24,2.0,5,1,1,9.521044914411217,-7.377160212852502,36.0352652720563,2.8823870406834105,68.2605384245808,1.3779895668858118,72.2059792487263,0.4090204715060025,1.0
12,72,0.24,2.0,6,1,1,9.510094361961963,-7.382097190927382,36.04460309360965,2.8905684216449363,68.27200338607474,1.389366816347127,71.87500631419564,0.2398985241672359,1.0
12,72,0.22,2.0,1,-1,1,9.398623409878478,-7.517891782687491,37.510893229808495,2.3257883756799616,67.15493999165689,1.8940640060468457,56.65171175679048,0.0715014057193124,1.0
12,72,0.22,2.0,2,-1,1,9.432076182639426,-7.503696587869432,37.482097680064705,2.2695549058394744,67.32655303850856,1.7783566205698391,56.37258985339904,-0.0331972939780097,1.0
12,72,0.22,2.0,3,-1,1,9.406794114831678,-7.508305116562655,37.5259303242615,2.313559447141814,67.20030881453788,1.8699691868714563,56.67218160231819,0.0758116172088864,1.0
12,72,0.22,2.0,4,-1,1,9.414268941358426,-7.499424643883255,37.47822387267954,2.2878563210142735,67.31340976908398,1.9377719604529449,56.81007797155611,0.2412392047508845,1.0
12,72,0.22,2.0,5,-1,1,9.412130801206205,-7.517714229148602,37.519037412582215,2.30600208830841,67.03741513658852,1.6263213935722494,56.7083123977146,0.2891989158973772,1.0
12,72,0.22,2.0,6,-1,1,9.412537301147244,-7.506749955829536,37.53925076019438,2.3205804897839575,67.41619882143084,1.9271436281099423,57.12334589270328,0.4590377024866038,1.0
