L,nup,delta,U,seed,chi_son_full,chi_son_full_err,chi_son_vertex,chi_son_vertex_err,chi_sext_full,chi_sext_full_err,chi_sext_vertex,chi_sext_vertex_err,chi_d_full,chi_d_full_err,chi_d_vertex,chi_d_vertex_err,chi_dxy_full,chi_dxy_full_err,chi_dxy_vertex,chi_dxy_vertex_err,n
8,21,0.0,2.0,2,10.409489948931723,0.0268269320624217,-10.968491446969008,0.0507637535402978,22.526710079094755,0.123580989742903,-5.630524037150124,0.1540253696536087,124.92759838575856,0.4584635758529164,0.3520137360612781,0.4040323323443517,100.79622915243137,0.4060832193542901,0.4747216739281018,0.3669233175271219,0.65625
8,21,0.0,2.0,3,10.367972747430468,0.0289940133344909,-10.90766546515685,0.034400023395322,22.67520417369134,0.0939732008181607,-5.406773783800679,0.0836800774824525,126.24243332139991,0.4384537715083526,1.9997965808173503,0.438261506559874,100.20143503978936,0.57401757892011,0.848185350506208,0.5435572238903255,0.65625
8,21,0.0,2.0,4,10.438633137543317,0.0328442649873778,-10.908055341757038,0.0323713799829356,22.906772358395433,0.1105049005371149,-5.222042846347328,0.0849133867511368,124.59361340137134,0.4670574534041115,0.4229881094093246,0.4065398692264365,100.94586785667396,0.4323103793878493,0.9481618659733544,0.3826827887217859,0.65625
8,21,0.0,2.0,5,10.401293987789613,0.0289724410062339,-10.921662061409553,0.0385546713332649,22.54563198675065,0.1298762072097078,-5.583272908638881,0.1463697233866292,126.41800882876971,0.5191483181932581,2.311299262858978,0.4440733835600671,102.11181705253576,0.5886277884283847,1.640788366804938,0.5288166043722048,0.65625
8,21,0.0,2.0,6,10.326134146036706,0.041353074555197,-10.904321390479526,0.0556460378700543,22.532116552739332,0.1102447953575467,-5.399696745969683,0.100598596324589,126.7818593139483,0.5273500099507259,2.0075357232882896,0.4161928535503919,100.92441697890015,0.5493866435175153,1.661513669055617,0.4171916302374157,0.65625
8,25,0.0,2.0,1,7.69026513277837,0.0076980306466572,-6.750968377420342,0.0127539900851249,18.33828846900035,0.007928322760001,1.4347040720657542,0.0073837081819312,107.08495140369914,0.3409180009028293,2.3939200871860544,0.2853465806510097,64.75456431377657,0.0831261030869371,-0.2225436271414712,0.0563166780147129,0.78125
8,25,0.0,2.0,2,7.698305081281768,0.0074397418020888,-6.765183865982576,0.0148602521258897,18.351040332802057,0.0085404587704934,1.4295732100822631,0.0076143255179724,108.97429637534636,0.367042326837903,3.921067086894298,0.2336741392227912,64.78823721616693,0.0639863364389293,-0.2180467746080876,0.0470839682810713,0.78125
8,25,0.0,2.0,3,7.699493180544596,0.0096617073228878,-6.729847865206084,0.015615001925467,18.33823476944574,0.0082875618028757,1.431572426608157,0.0066106550570335,107.54857242508928,0.3901597896099327,3.0984932407066523,0.2844685585222867,64.6267362625964,0.0892419780299616,-0.276299651306145,0.0552639628963215,0.78125
8,25,0.0,2.0,4,7.711712420189602,0.0067957087210259,-6.776268190401005,0.0135249129694799,18.340071859773666,0.0079867311077027,1.42859827836463,0.0065041917823193,108.266171999466,0.3391488744540537,3.1829476940441195,0.2478701087249883,64.81171852984258,0.0666982331658809,-0.2650756800887299,0.0492985191606096,0.78125
8,25,0.0,2.0,5,7.703831487461114,0.0077252224093457,-6.749159525251407,0.0138243360709243,18.334299897904167,0.0095950544075381,1.4275703338136936,0.0076981880941077,107.6120371675103,0.2865670462654481,2.7830277901692786,0.2008672728280245,64.80549290169009,0.0630382002322912,-0.1306882872313704,0.0539822035866028,0.78125
8,25,0.0,2.0,6,7.696906047178158,0.0074856327738465,-6.767364891611885,0.0142925828202787,18.35539483104908,0.0088121131480436,1.451934783611667,0.0078936979871671,109.4351780373434,0.3244474732384939,4.476153654863816,0.2439925330521783,64.75511079463456,0.0723300452466713,-0.2799998936734494,0.0513610347829644,0.78125
8,28,0.0,2.0,1,5.987329325944887,0.0066463516396199,-4.872230628049726,0.0105702262135644,17.658407780045625,0.0080440147068243,1.3792903425968883,0.005571878927774,58.372071172970074,0.1388443069000579,1.7150201548351889,0.1095713312423627,55.021337282327025,0.088547029634161,-0.420946175262189,0.0529445783650663,0.875
8,28,0.0,2.0,2,5.978285880808372,0.0083917960756255,-4.859630488512773,0.0104298498264706,17.659810387620137,0.0086959148956476,1.372702727760599,0.0064591601925921,57.96660512085221,0.1208641335969056,1.3882309942435196,0.0887405900878141,54.73688757389611,0.0789382054378596,-0.5221658076200161,0.0512988391551561,0.875
8,28,0.0,2.0,3,5.997811436005767,0.0055421376622178,-4.853916753876865,0.0114465861718337,17.672218597442463,0.0091426277739148,1.3816795740148415,0.0081552345443583,58.10047047762752,0.1464848535854109,1.504958047913983,0.1223378113086155,54.889794655469984,0.0978124909489832,-0.4764832810816934,0.0560679289775314,0.875
8,28,0.0,2.0,4,5.995047749943434,0.0073311273820815,-4.875313316237777,0.0129100394980997,17.670369443942423,0.009886956838499,1.38368630951825,0.0063419757945705,58.00665758891508,0.1586750447327404,1.333403274984983,0.1091894425499304,54.994201806845,0.0833041542438929,-0.4105886047069876,0.0521738575351241,0.875
8,28,0.0,2.0,5,5.97808806267972,0.0077017452185189,-4.890226747874451,0.0100370541033253,17.6740555329939,0.0100688547436696,1.3818520614076717,0.0069829753779349,58.143714092528946,0.1234862635834982,1.4650531102399804,0.0952132182319257,55.06839004780053,0.0726745515811755,-0.368027618835627,0.0453984523092676,0.875
8,28,0.0,2.0,6,5.973767845523653,0.005784553150677,-4.865121200014341,0.0110561827126595,17.657871266420706,0.008835244704045,1.3809537063996942,0.0047213830783763,58.32326852832447,0.1138916426104851,1.75465187320741,0.0939617891895794,54.89540641893906,0.0881169921966258,-0.4408619527679791,0.0533015106478113,0.875
8,32,0.0,2.0,1,4.037192988461973,0.0152865511174401,-3.5680796650331077,0.0161940570137083,16.988967370285348,0.0102284520500617,1.4225455990083475,0.008313729508342,31.72813497591108,0.274428599823639,1.591696991770009,0.2091434949155372,40.67832665453237,0.1664464168652019,0.4636327202357396,0.1364924479637994,1.0
8,32,0.0,2.0,2,4.042216596101897,0.0096264493218659,-3.5532447132010425,0.0119210497136145,16.98125812871649,0.0094855573380032,1.4225106840510218,0.0055591941406025,31.000393126945873,0.1478988271525927,0.914034268876538,0.1271404191634865,40.42557133124135,0.0833304334709035,0.3762275495904977,0.0636767887722422,1.0
8,32,0.0,2.0,3,4.044385340547096,0.0105688137011036,-3.526430142930707,0.0107870732170074,16.96652125556728,0.0101164227968702,1.4202444086839014,0.0066254230902358,31.046469658783696,0.2226964825657568,1.1127458906964331,0.2183549014186278,40.54633485035093,0.0817376344074706,0.4254941866086177,0.0655354173500946,1.0
8,32,0.0,2.0,4,4.036979234379025,0.0100541905445534,-3.5522238376213537,0.0081934178430818,16.976768048948852,0.0095416335173034,1.4218149327605565,0.005644932789354,30.77010130490039,0.1675135659269525,1.0572283582526674,0.1491312428666908,40.6007265500982,0.090495959420401,0.4670670340031291,0.0690848961942477,1.0
