L,U,delta,dtot_raw,net,P_d,P_dxy,dtot_N,son,sext,d,dxy
8,2.0,0.1,2.4328073620000006,-8.000000399112361e-09,-0.00017402556367647492,-0.08150981256449735,0.03801261503125001,-0.080654428,0.274304372,0.076492916,0.007942749
8,2.0,0.2,2.0841308270000005,-8.500000062833246e-08,-0.0001554898085541826,-0.08137755222323004,0.03256454417187501,-0.114663285,0.26361508,0.017127553,0.115029262
8,2.0,0.3,1.6662387800000005,-6.999999985907168e-08,-0.0015673955725838602,-0.040504584600827245,0.026034980937500007,-0.109673104,0.247018267,0.015196902,0.155054308
8,2.0,0.4,0.2561257170000002,2.300000032443017e-08,-0.0013570982276063896,0.0003112980685617852,0.004001964328125003,-0.104038396,0.229340142,0.037240809,0.181573572
8,2.0,0.5,0.25685438699999985,2.900000023453586e-08,0.00224948348810943,0.0002956769542961253,0.004013349796874998,-0.099122359,0.213189646,0.038166895,0.177650304
8,2.0,0.6,0.29188864699999995,2.5000000118680088e-08,0.004363649442057168,0.00022667534751020428,0.004560760109374999,-0.094548552,0.198604136,0.03633148,0.171692808
8,2.0,0.7,0.22944736700000004,3.100000010858306e-08,0.002577917483397773,0.00022714320647145635,0.0035851151093750006,-0.090582914,0.186292782,0.062458291,0.164588193
8,3.5,0.1,1.195011879,8.100000013083752e-08,0.0010000512820922884,-0.0004648174096073214,0.018672060609375,-0.071772676,0.424311083,0.192481598,-0.014048118
8,3.5,0.2,2.1907406729999996,7.300000020443731e-08,-0.0005909581909360998,-0.0029395786867586547,0.034230323015624994,-0.07596872,0.419580009,0.188886288,0.004064937
8,3.5,0.3,4.2068397079999995,9.99999998502199e-08,-0.005840237083193495,-0.03763361099734401,0.06573187043749999,-0.102082508,0.414249039,0.166831372,0.096440608
8,3.5,0.4,0.5728466490000003,-2.0999999999354868e-08,-0.001221025434993794,-0.0006564036652063577,0.008950728890625004,-0.147819329,0.396752437,0.074981793,0.324589003
8,3.5,0.5,0.5305211530000004,4.099999993852077e-08,-0.0002870957681277991,0.0007488419665043446,0.008289393015625006,-0.142461512,0.36770481,0.070443321,0.318542386
8,3.5,0.6,0.49120519100000004,2.5000000167252345e-08,0.0017458532588902028,0.0006395672292949015,0.007675081109375001,-0.137776611,0.344161071,0.064008439,0.308904192
8,3.5,0.7,0.421722444,2.600000010254122e-08,-0.001113020857112807,0.0006228549137874751,0.0065894131875,-0.133262438,0.32226854,0.06428082,0.297136909
8,3.0,0.1,1.1103054779999997,6.399999998366046e-08,0.0005363491207478543,-0.0021714479488514093,0.017348523093749995,-0.073145056,0.382815803,0.17223834,-0.010341285
8,3.0,0.2,3.435168376999999,-1.699999995115331e-08,-0.0015037317984795593,-0.07738284497108568,0.05367450589062499,-0.096460637,0.381399181,0.134508969,0.032465078
8,3.0,0.3,1.7185578289999999,-7.499999980266348e-08,-0.00013294415373926561,-0.036811865998996655,0.026852466078124998,-0.141077809,0.367432981,0.042325281,0.234976427
8,3.0,0.4,0.4325847899999997,2.5999999713963162e-08,0.0008314021054405102,0.0004253295682855826,0.006759137343749996,-0.135949366,0.342085437,0.059605635,0.276654795
8,3.0,0.5,0.3752775380000003,2.1999999525249003e-08,0.00031707278179885894,0.0006337214917608948,0.005863711531250005,-0.130686971,0.318309193,0.057455295,0.27198033
8,3.0,0.6,0.4146806239999997,1.7999999657458687e-08,0.002814071068913915,0.0005467412979503249,0.006479384749999996,-0.125648614,0.296573641,0.058969034,0.263439078
8,3.0,0.7,0.3306782930000003,2.2999999942791005e-08,0.0006138480410298247,0.0005071515928229864,0.0051668483281250045,-0.120980009,0.277896047,0.049344145,0.25252693
8,4.5,0.1,1.192897908,8.000000054075862e-08,-0.0007674021778868037,0.00018479545586137252,0.0186390298125,-0.065191093,0.473679953,0.223487334,-0.021712558
8,4.5,0.2,2.288790087,4.1000000165769546e-08,-0.0003527295169878853,1.0901818365019213e-05,0.035762345109375,-0.069552751,0.479146761,0.230710061,-0.010322359
8,4.5,0.3,3.2647978680000005,7.799999995894424e-08,-0.002893238626921605,-0.00147408361350333,0.05101246668750001,-0.074664995,0.474273056,0.226528599,0.015831865
8,4.5,0.4,3.0186492,6.400000031325792e-08,0.00032439237399808837,0.0010106802625098861,0.04716639375,-0.105097979,0.475359894,0.224690171,0.169997202
8,4.5,0.5,2.8946640190000004,1.0100000077256643e-07,0.000677619879341198,0.002209743368156274,0.045229125296875006,-0.109907508,0.451731717,0.239779307,0.206111445
8,4.5,0.6,0.7943038759999996,1.9999999462116946e-08,-0.0007061948178726395,0.001327391342150965,0.012410998062499994,-0.154966165,0.432228112,0.104789113,0.399761857
8,4.5,0.7,0.6822995520000004,1.9999999670283763e-08,-0.0003567578684175635,0.0010739238199524933,0.010660930500000006,-0.150883554,0.405498811,0.094364333,0.383904307
8,4.0,0.1,1.217669987,6.700000044351784e-08,0.0008872108727341632,3.2286852621780686e-06,0.019026093546875,-0.068848181,0.453696263,0.214617644,-0.018886761
8,4.0,0.2,2.3219832400000007,8.000000051994194e-08,0.0012623112184762461,-0.0007430958483857554,0.03628098812500001,-0.072708861,0.45306028,0.211064868,-0.004097599
8,4.0,0.3,3.092415263,9.299999989206831e-08,-0.00038168179420255255,-0.0029677322444828127,0.048318988484375,-0.079122547,0.44502657,0.204462764,0.026983776
8,4.0,0.4,2.841892187,6.500000051049004e-08,-0.00036159322842879905,0.0011183401016059582,0.044404565421875,-0.105041315,0.435350791,0.225510647,0.163773017
