L,U,delta,nseed,son,son_err,sext,sext_err,d,d_err,dxy,dxy_err
8,3.0,0.4,6,-2.5934568410323764,0.001671569636854268,1.4896245553220089,0.0015663708580345907,0.39556457851508237,0.01045277335856348,2.0427221089701395,0.002823370337661954
8,3.0,0.5,6,-2.479019485232382,0.001137004983483343,1.35611535528569,0.0013453487864673748,0.33768827270833873,0.02063387102743788,1.6502226969609606,0.004562072603460862
8,3.0,0.6,6,-2.3713760794916703,0.0011032884379652767,1.2434208829043805,0.0011500654380882528,0.2832092944067994,0.008475600736351537,1.343671626607536,0.0012915583123904585
8,3.0,0.7,6,-2.2663848925261276,0.0015412290312343594,1.150889215855381,0.0012557003924461591,0.27319060333458756,0.014178168461611285,1.1008748447276016,0.0010442310037916667
8,3.5,0.1,6,-2.444151206326039,0.0018616977790974387,2.1445746084665656,0.0027753014617502617,1.3368525993575682,0.024057539024776742,0.19591637518347524,0.03319405335384848
8,3.5,0.2,6,-2.471415407668936,0.0033169585794759733,1.993090350330643,0.002039767170257357,0.8698226921138729,0.01904735914784577,0.9622420952719603,0.02304557628084411
8,3.5,0.3,6,-2.433052859584576,0.001259542344346049,1.8382534557078969,0.002136311480271195,0.9063635789626026,0.013303296782104655,1.3288781509400651,0.02401442456540103
8,3.5,0.4,6,-2.3632938765727345,0.004783564992846686,1.660721730055866,0.0015345072993691127,0.5043864222674795,0.02201347362227297,2.293259070519703,0.003289888888315041
8,3.5,0.5,6,-2.292326080939345,0.0016067746451290926,1.5131249065773027,0.002642674709330693,0.42369243145343255,0.02318937505003101,1.9014972680870885,0.0035550485683848213
8,3.5,0.6,6,-2.209134181382874,0.0012515683047277135,1.387482638992557,0.0014057404023884127,0.38180345785932795,0.00940890203507512,1.5696809917251888,0.0029235340658985164
8,3.5,0.7,6,-2.129137981982462,0.0006661419421357487,1.2848165775460814,0.000797648671558916,0.30696308315753373,0.010333861095473308,1.3087679045319447,0.0013939001584363762
8,4.0,0.1,6,-2.110313930528152,0.0045223112817051785,2.3345067799603236,0.005237663877988774,1.6188799648557064,0.04334205044216278,0.16837337299549013,0.04164173536472273
8,4.0,0.2,6,-2.167519917292808,0.0022751255077158943,2.169997555060781,0.002300264217891646,1.089388474317465,0.026612982666496057,1.223521771501744,0.016454449518520528
8,4.0,0.3,6,-2.1633466799872054,0.0020233180938508738,1.998000231775172,0.0032412255068377245,0.9824721740187129,0.033061651864545925,1.6541192874626764,0.02730257963766863
8,4.0,0.4,6,-2.1421916900660958,0.00202641256822892,1.8053069507146307,0.0033700845608439366,0.6512555217743898,0.01515021187369813,2.5073830209896797,0.00880222478688562
8,4.0,0.5,6,-2.1006006373562034,0.0013727025989995274,1.6470588787460645,0.002679452676957305,0.5279070098889171,0.013161413690834985,2.135078323125308,0.0035554625582784804
8,4.0,0.6,6,-2.0411907936975915,0.0011796112900673578,1.5160374908751415,0.0016570544685507302,0.4521304828804283,0.012078687645312693,1.7871373108220387,0.0015719371342206557
8,4.0,0.7,6,-1.9815213840141384,0.0013928202142085792,1.4029642277564962,0.0015689638919085408,0.41307022263777066,0.01853376944057159,1.5021089183310858,0.0022362646071890277
8,4.5,0.1,6,-1.8079143501859354,0.005406940814839573,2.4621357333185347,0.011156654064234349,1.8504266527532838,0.04429403658579498,0.06527050831332602,0.0267118082534214
8,4.5,0.2,6,-1.8878987934725586,0.002224142346488324,2.318024500329289,0.003917301496042186,1.3334979529738238,0.05262445439069759,1.3759703761175375,0.054375508471580694
8,4.5,0.3,6,-1.9116333924257127,0.0011028080771054852,2.132200535713533,0.004722064030820288,1.1602501026544627,0.042451944854211845,1.9117744636583334,0.012184140174221298
