L,nup,delta,U,seed,channel,R,P,bubble,V
12,36,0.6,6.0,2,dxy,7.211103,-0.4231876165166682,1.0351925110257825,-1.4583801275424508
12,36,0.6,6.0,2,dxy,7.81025,0.1405865657424066,0.0143710051617137,0.1262155605806929
12,36,0.6,6.0,2,dxy,8.485281,0.4291037900171718,0.8156195048425822,-0.3865157148254103
12,36,0.6,6.0,3,son,0.0,13.02480528378076,27.194556075100735,-14.169750791319975
12,36,0.6,6.0,3,son,1.0,-0.8623922838182683,0.5723015672860294,-1.4346938511042977
12,36,0.6,6.0,3,son,1.414214,0.8435143420855391,7.439836088643953,-6.596321746558414
12,36,0.6,6.0,3,son,2.0,-0.4373309503791582,0.2918698374169007,-0.729200787796059
12,36,0.6,6.0,3,son,2.236068,0.3439117652947534,1.1204509375984264,-0.776539172303673
12,36,0.6,6.0,3,son,2.828427,0.4252229108437172,1.5494610189481213,-1.124238108104404
12,36,0.6,6.0,3,son,3.0,0.1399121494750181,0.6517119649416754,-0.5117998154666573
12,36,0.6,6.0,3,son,3.162278,0.1478974902386739,1.0250256839390055,-0.8771281937003318
12,36,0.6,6.0,3,son,3.605551,-0.0598382733462965,0.0060448628025899,-0.0658831361488864
12,36,0.6,6.0,3,son,4.0,-0.0355100819775057,0.043275860884835,-0.0787859428623407
12,36,0.6,6.0,3,son,4.123106,0.0139182020449198,0.2055858690248663,-0.1916676669799464
12,36,0.6,6.0,3,son,4.242641,-0.0165010514515041,0.0843098660165926,-0.1008109174680968
12,36,0.6,6.0,3,son,4.472136,0.0781463364321078,0.3751839616598023,-0.2970376252276945
12,36,0.6,6.0,3,son,5.0,0.0076645206255538,0.1437448151440646,-0.1360802945185107
12,36,0.6,6.0,3,son,5.09902,0.0169879291099833,0.058988634008566,-0.0420007048985827
12,36,0.6,6.0,3,son,5.385165,0.0068490774674382,0.0150660297606603,-0.0082169522932221
12,36,0.6,6.0,3,son,5.656854,-0.0110875757643372,0.0797412271383991,-0.0908288029027364
12,36,0.6,6.0,3,son,5.830952,-0.0133548897927881,0.033799340335672,-0.0471542301284602
12,36,0.6,6.0,3,son,6.0,0.0063900567866457,0.0686338123637066,-0.0622437555770608
12,36,0.6,6.0,3,son,6.082763,0.0308760136776407,0.0396418272734077,-0.008765813595767
12,36,0.6,6.0,3,son,6.324555,0.0252178216373769,0.0127811150422117,0.0124367065951652
12,36,0.6,6.0,3,son,6.403124,0.0247005699392463,0.0316269174576258,-0.0069263475183795
12,36,0.6,6.0,3,son,6.708204,0.0489595004568907,0.015971199331653,0.0329883011252377
12,36,0.6,6.0,3,son,7.071068,0.0088359351552068,0.1863445134064147,-0.1775085782512079
12,36,0.6,6.0,3,son,7.211103,0.0188386144670393,0.1036934556846594,-0.0848548412176201
12,36,0.6,6.0,3,son,7.81025,-0.0058386305462119,0.0130809837935189,-0.0189196143397308
12,36,0.6,6.0,3,son,8.485281,0.0030790933154672,0.0724235808489506,-0.0693444875334834
12,36,0.6,6.0,3,sext,0.0,58.83295032421637,64.30356376970445,-5.470613445488084
12,36,0.6,6.0,3,sext,1.0,0.2190768453322994,4.659142747487072,-4.440065902154773
12,36,0.6,6.0,3,sext,1.414214,-16.63114270955565,-14.949674572430643,-1.681468137125007
12,36,0.6,6.0,3,sext,2.0,-0.316798976460571,0.9534648819240816,-1.2702638583846526
12,36,0.6,6.0,3,sext,2.236068,2.5195938592826215,3.5833052358972233,-1.0637113766146018
12,36,0.6,6.0,3,sext,2.828427,4.303034892654162,3.95761668942178,0.3454182032323825
12,36,0.6,6.0,3,sext,3.0,0.5133717679731898,1.0847838222993864,-0.5714120543261966
12,36,0.6,6.0,3,sext,3.162278,-1.0096801696823985,-0.5854056888793097,-0.4242744808030888
