L,U,n,delta,seed,qx,qy,kind,S_peak,S_pipi,m_peak,m_pipi
10,0.0,0.66,0.5,1,1.0,0.0,stripe,0.14891314165709799,0.11501266057261608,0.03858926556143535,0.03391351656384458
10,0.0,0.66,0.5,2,1.0,0.0,stripe,0.14891314165709799,0.11501266057261608,0.03858926556143535,0.03391351656384458
10,0.0,0.66,0.5,3,1.0,0.0,stripe,0.14891314165709799,0.11501266057261608,0.03858926556143535,0.03391351656384458
10,0.0,0.66,0.5,4,1.0,0.0,stripe,0.14891314165709799,0.11501266057261608,0.03858926556143535,0.03391351656384458
10,0.0,0.66,0.5,5,1.0,0.0,stripe,0.14891314165709799,0.11501266057261608,0.03858926556143535,0.03391351656384458
10,0.0,0.66,0.5,6,1.0,0.0,stripe,0.14891314165709799,0.11501266057261608,0.03858926556143535,0.03391351656384458
10,0.0,0.66,0.6,1,0.0,1.0,stripe,0.1534534102152101,0.10822833447764424,0.03917312984881475,0.03289807509226706
10,0.0,0.66,0.6,2,0.0,1.0,stripe,0.1534534102152101,0.10822833447764424,0.03917312984881475,0.03289807509226706
10,0.0,0.66,0.6,3,0.0,1.0,stripe,0.1534534102152101,0.10822833447764424,0.03917312984881475,0.03289807509226706
10,0.0,0.66,0.6,4,0.0,1.0,stripe,0.1534534102152101,0.10822833447764424,0.03917312984881475,0.03289807509226706
10,0.0,0.66,0.6,5,0.0,1.0,stripe,0.1534534102152101,0.10822833447764424,0.03917312984881475,0.03289807509226706
10,0.0,0.66,0.6,6,0.0,1.0,stripe,0.1534534102152101,0.10822833447764424,0.03917312984881475,0.03289807509226706
10,0.0,0.66,0.7,1,0.0,1.0,stripe,0.153768078515423,0.10638288198303351,0.03921327307372122,0.03261638882265072
10,0.0,0.66,0.7,2,0.0,1.0,stripe,0.153768078515423,0.10638288198303351,0.03921327307372122,0.03261638882265072
10,0.0,0.66,0.7,3,0.0,1.0,stripe,0.153768078515423,0.10638288198303351,0.03921327307372122,0.03261638882265072
10,0.0,0.66,0.7,4,0.0,1.0,stripe,0.153768078515423,0.10638288198303351,0.03921327307372122,0.03261638882265072
10,0.0,0.66,0.7,5,0.0,1.0,stripe,0.153768078515423,0.10638288198303351,0.03921327307372122,0.03261638882265072
10,0.0,0.66,0.7,6,0.0,1.0,stripe,0.153768078515423,0.10638288198303351,0.03921327307372122,0.03261638882265072
10,0.0,0.78,0.0,1,1.0,0.8,spiral,0.18499999999999986,0.18499999999999983,0.04301162633521312,0.04301162633521311
10,0.0,0.78,0.0,2,1.0,0.8,spiral,0.18499999999999986,0.18499999999999983,0.04301162633521312,0.04301162633521311
10,0.0,0.78,0.0,3,1.0,0.8,spiral,0.18499999999999986,0.18499999999999983,0.04301162633521312,0.04301162633521311
10,0.0,0.78,0.0,4,1.0,0.8,spiral,0.18499999999999986,0.18499999999999983,0.04301162633521312,0.04301162633521311
10,0.0,0.78,0.0,5,1.0,0.8,spiral,0.18499999999999986,0.18499999999999983,0.04301162633521312,0.04301162633521311
10,0.0,0.78,0.0,6,1.0,0.8,spiral,0.18499999999999986,0.18499999999999983,0.04301162633521312,0.04301162633521311
10,0.0,0.78,0.1,1,0.8,1.0,spiral,0.18409255666138002,0.18266279038123587,0.04290600851412073,0.042739067652586414
10,0.0,0.78,0.1,2,0.8,1.0,spiral,0.18409255666138002,0.18266279038123587,0.04290600851412073,0.042739067652586414
10,0.0,0.78,0.1,3,0.8,1.0,spiral,0.18409255666138002,0.18266279038123587,0.04290600851412073,0.042739067652586414
10,0.0,0.78,0.1,4,0.8,1.0,spiral,0.18409255666138002,0.18266279038123587,0.04290600851412073,0.042739067652586414
10,0.0,0.78,0.1,5,0.8,1.0,spiral,0.18409255666138002,0.18266279038123587,0.04290600851412073,0.042739067652586414
10,0.0,0.78,0.1,6,0.8,1.0,spiral,0.18409255666138002,0.18266279038123587,0.04290600851412073,0.042739067652586414
10,0.0,0.78,0.2,1,0.8,1.0,spiral,0.19038817241486508,0.18615657715316947,0.04363349314630506,0.04314586621603157
10,0.0,0.78,0.2,2,0.8,1.0,spiral,0.19038817241486508,0.18615657715316947,0.04363349314630506,0.04314586621603157
10,0.0,0.78,0.2,3,0.8,1.0,spiral,0.19038817241486508,0.18615657715316947,0.04363349314630506,0.04314586621603157
10,0.0,0.78,0.2,4,0.8,1.0,spiral,0.19038817241486508,0.18615657715316947,0.04363349314630506,0.04314586621603157
10,0.0,0.78,0.2,5,0.8,1.0,spiral,0.19038817241486508,0.18615657715316947,0.04363349314630506,0.04314586621603157
10,0.0,0.78,0.2,6,0.8,1.0,spiral,0.19038817241486508,0.18615657715316947,0.04363349314630506,0.04314586621603157
10,0.0,0.78,0.3,1,0.8,1.0,spiral,0.18359198696784174,0.17025298849760095,0.042847635520276,0.04126172421234975
10,0.0,0.78,0.3,2,0.8,1.0,spiral,0.18359198696784174,0.17025298849760095,0.042847635520276,0.04126172421234975
10,0.0,0.78,0.3,3,0.8,1.0,spiral,0.18359198696784174,0.17025298849760095,0.042847635520276,0.04126172421234975
10,0.0,0.78,0.3,4,0.8,1.0,spiral,0.18359198696784174,0.17025298849760095,0.042847635520276,0.04126172421234975
