U,nup,delta,Spipi,M,chi_son,chi_sext,chi_d,chi_dxy,n,Mdelta,M0,dM,dMdelta
2.0,18,0.4,0.1937961751427777,0.4402226450454205,-1.647197541690548,0.6163115390866705,0.0547774686846052,0.7377726338663049,1.0,0.1760890580181682,0.40724645265811,0.03297619238731053,0.013190476954924214
4.0,4,0.0,0.0559931749927786,0.2366286887996505,-29.031514542689223,-42.937535499490785,-1.5458761986230527,1.7213755148144785,0.2222222222222222,0.0,0.2357022603955159,0.0009264284041345938,0.0
4.0,4,0.1,0.0561043712888311,0.2368636036084998,-29.320507758874864,-43.57554942550778,-0.9804443189398316,0.702587877570629,0.2222222222222222,0.0236863603608499,0.2357022603955159,0.0011613432129839174,0.00011613432129839175
4.0,4,0.2,0.0559081098440621,0.2364488007625342,-30.36836037578593,-43.55522942090374,-1.306544946886907,-2.457088038390587,0.2222222222222222,0.0472897601525068,0.2357022603955158,0.0007465403670183779,0.0001493080734036756
4.0,4,0.3,0.0558954895150838,0.2364221029076822,-32.12556339836966,-43.43031135989733,-2.0262626057170476,-7.919694043634073,0.2222222222222222,0.0709266308723046,0.2357022603955158,0.000719842512166391,0.0002159527536499173
4.0,4,0.4,0.0556573515625606,0.2359175271931743,-34.84970291041568,-44.4747852519644,-1.909981226362548,-17.074044990904625,0.2222222222222222,0.0943670108772697,0.2357022603955158,0.00021526679765848655,8.610671906339462e-05
4.0,6,0.0,0.084550220806408,0.2907745280037689,-17.556746431208584,-13.85904073172396,-1.4615431769540084,0.1547481354768252,0.3333333333333333,0.0,0.2886751345948129,0.002099393408955985,0.0
4.0,6,0.1,0.0847525069584669,0.2911225686118459,-17.78659667860536,-14.011245073878811,-1.6417389312829769,0.6146962887701756,0.3333333333333333,0.0291122568611845,0.2885058445559141,0.002616724055931774,0.0002616724055931774
4.0,6,0.2,0.0847298199174386,0.2910837258619375,-18.4578103190857,-14.601151837355085,-1.1939145661636088,-1.2086389169729002,0.3333333333333333,0.0582167451723875,0.2885110818219826,0.0025726440399548856,0.0005145288079909772
4.0,6,0.3,0.0846540488533683,0.2909535087276484,-19.657128176662116,-16.012070678975842,-2.0378525660004754,-3.580191665685422,0.3333333333333333,0.0872860526182945,0.2885795957875209,0.0023739129401275094,0.0007121738820382528
4.0,6,0.4,0.0846698565773733,0.29097976652366,-21.18161841524327,-17.669028081353066,-1.7047973893277657,-7.872817325831123,0.3333333333333333,0.116391906609464,0.2880765327352975,0.0029032337883624915,0.0011612935153449966
4.0,8,0.0,0.1149572885853626,0.3390514652445251,-10.6874034373392,-7.797915574064635,-1.185994412790474,1.2063923349917935,0.4444444444444444,0.0,0.3333333333333332,0.005718131911191915,0.0
4.0,8,0.1,0.1138429874048396,0.3374047424211654,-10.763240413805624,-7.82158204792368,-1.3172919980086455,1.7758633471658771,0.4444444444444444,0.0337404742421165,0.3321585527346244,0.005246189686541003,0.0005246189686541003
4.0,8,0.2,0.112441488222277,0.3353226236200079,-11.200218607592854,-7.840958115293105,-0.9823678807832424,0.0420884515404078,0.4444444444444444,0.0670645247240015,0.3295773506895175,0.00574527293049043,0.0011490545860980861
4.0,8,0.3,0.1105693045327056,0.3325196271095056,-11.864773555142389,-7.817284763073133,-1.1766788728980082,-1.295765096672597,0.4444444444444444,0.0997558881328516,0.3256370516314664,0.006882575478039221,0.0020647726434117664
4.0,8,0.4,0.1050926657518601,0.3241786279223866,-12.705738186849318,-7.61195611750241,-1.2837788850770049,-3.603881736133821,0.4444444444444444,0.1296714511689546,0.3179919727399699,0.006186655182416734,0.0024746620729666938
4.0,10,0.0,0.1489584241340073,0.3859498776888633,-6.49058962271391,-3.1107529904152886,0.3141359316985898,0.6624751016968548,0.5555555555555556,0.0,0.3726779962499648,0.013271881438898514,0.0
4.0,10,0.1,0.1479681474550993,0.3846636517877548,-6.568646440875344,-3.058620119128786,-1.155088565198898,0.2780564935624108,0.5555555555555556,0.0384663651787754,0.3710342234907155,0.013629428297039281,0.0013629428297039282
