L,U,delta,nk,A_odd,M_odd
1.200000000000000000e+01,4.500000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,6.474638227920852251e-02,1.980919380100897076e+00
1.200000000000000000e+01,4.000000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,2.854856429098299314e-02,1.969726663781302012e+00
1.200000000000000000e+01,4.000000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,4.616042413666379685e-02,1.956956353473178645e+00
1.200000000000000000e+01,4.000000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,3.029806419554911465e-02,1.986833095830399243e+00
1.200000000000000000e+01,4.000000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,2.766050882078424297e-02,1.999150295108732101e+00
1.200000000000000000e+01,4.000000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,1.033908023986882946e-01,1.950002282327584213e+00
1.200000000000000000e+01,4.000000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,5.112869430725062309e-02,1.977229050928010823e+00
1.200000000000000000e+01,4.000000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,6.000240372873349298e-02,1.968154412544267151e+00
1.200000000000000000e+01,5.000000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,3.985061045008866931e-02,1.973963625666058874e+00
1.200000000000000000e+01,5.000000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,6.575560648368457273e-02,1.967270414782951837e+00
1.200000000000000000e+01,5.000000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,3.285601269042600497e-02,1.983784430195584036e+00
1.200000000000000000e+01,5.000000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,8.540433306207034780e-02,1.934388348804241708e+00
1.200000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,3.147067757117666398e-02,1.980697590973027555e+00
1.200000000000000000e+01,5.000000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,1.144975116082843358e-01,1.954585399613774088e+00
1.200000000000000000e+01,5.000000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,6.097876749001670399e-02,1.971894014640102277e+00
