U,nup,delta,mm,m0,chi_d,chi_dxy,dm,mAM,n
2.0,48,0.3,0.03373095746366698,0.0321157904505505,4.823820499527258,-17.897551138011888,0.0016151670131164808,0.00048455010393494424,0.6666666666666666
2.0,48,0.4,0.03205438395397377,0.0307744154819389,1.8693474945189636,-26.48543706101762,0.0012799684720348654,0.0005119873888139462,0.6666666666666666
2.0,56,0.0,0.04003565480448498,0.0360843918243516,4.834027990475673,-0.6524039768013351,0.003951262980133381,0.0,0.7777777777777778
2.0,56,0.1,0.039661754956455735,0.0358651129078462,4.749242893880698,-2.545784264991999,0.003796642048609536,0.0003796642048609536,0.7777777777777778
2.0,56,0.2,0.03956686170821095,0.0358614000822791,5.118142888861865,-6.6677024269149,0.003705461625931848,0.0007410923251863696,0.7777777777777778
2.0,56,0.3,0.03640993004481697,0.0339169757981854,3.4172381593112053,-14.609369868709464,0.002492954246631568,0.0007478862739894703,0.7777777777777778
2.0,56,0.4,0.03476806991349897,0.0325837812268567,2.733112243334714,-20.25473984347992,0.0021842886866422703,0.0008737154746569081,0.7777777777777778
2.0,64,0.0,0.045067448472364526,0.0385246883486812,5.9123738862320145,-0.8217029872235496,0.006542760123683322,0.0,0.8888888888888888
2.0,64,0.1,0.04328732951553793,0.038153117216331,5.335812469397037,-2.5719719823749214,0.005134212299206929,0.000513421229920693,0.8888888888888888
2.0,64,0.2,0.041490109122177814,0.0369562316081898,4.323239923287659,-7.555151563199108,0.0045338775139880105,0.0009067755027976021,0.8888888888888888
2.0,64,0.3,0.041624939258572816,0.0362770355696942,3.7597114568683003,-12.267970209233317,0.005347903688878615,0.0016043711066635845,0.8888888888888888
2.0,64,0.4,0.03572713405195025,0.0332893207711791,2.775761335847397,-1.2327731318186037,0.0024378132807711533,0.0009751253123084614,0.8888888888888888
2.0,72,0.0,0.04353822801714041,0.0380362887156365,3.4604692598873292,-0.7254763693601155,0.0055019393015039095,0.0,1.0
2.0,72,0.1,0.04266838132179008,0.037554652263564,3.060336640963898,-1.254169913458069,0.005113729058226081,0.0005113729058226082,1.0
2.0,72,0.2,0.041460473569217365,0.0367683761087647,1.2291596319411038,2.0479730797414706,0.004692097460452668,0.0009384194920905337,1.0
2.0,72,0.3,0.040153481564410655,0.0356748742287585,1.1961293577844412,2.9658079517581935,0.004478607335652154,0.0013435822006956464,1.0
2.0,72,0.4,0.03767331044815198,0.034358650153483,0.6780883378506686,3.3178843690327846,0.0033146602946689807,0.0013258641178675924,1.0
4.0,36,0.0,0.03039082639269883,0.0294627825494394,-2.0444968465912248,3.4052152503826494,0.000928043843259431,0.0,0.5
4.0,36,0.1,0.030197604628088386,0.029386935469142495,-0.1823233783009491,2.2634931354401795,0.0008106691589458911,8.106691589458912e-05,0.5
4.0,36,0.2,0.030070996127152583,0.0291349980717828,0.49737612927971525,-1.8612679600752464,0.0009359980553697821,0.00018719961107395642,0.5
4.0,36,0.3,0.029725476189829802,0.0287761939629325,-2.5181147091690153,-9.47313291722522,0.0009492822268973022,0.0002847846680691907,0.5
4.0,36,0.4,0.029292521046061767,0.0283303679781198,-1.9390627198135941,-21.38627322318357,0.0009621530679419683,0.0003848612271767874,0.5
4.0,40,0.0,0.032520769183061,0.031056499687497,1.800319742245809,2.5690699075026844,0.0014642694955640002,0.0,0.5555555555555556
4.0,40,0.1,0.032377016022180266,0.0309676136091056,2.4906715057813975,1.323174920454017,0.0014094024130746653,0.00014094024130746654,0.5555555555555556
4.0,40,0.2,0.03213888920446804,0.030714859295012203,-0.23874801579844696,-4.589123988545786,0.0014240299094558338,0.0002848059818911668,0.5555555555555556
4.0,40,0.3,0.03162382308781857,0.0303338711713847,0.7565673189603311,-10.000690494235654,0.0012899519164338673,0.0003869855749301602,0.5555555555555556
4.0,40,0.4,0.030544176482135633,0.0295312657142231,-1.9096731327231062,-13.621431224496133,0.0010129107679125345,0.0004051643071650138,0.5555555555555556
4.0,48,0.0,0.0376428211502779,0.0340206908719885,1.011242724662067,-1.3612435155298004,0.0036221302782893997,0.0,0.6666666666666666
4.0,48,0.1,0.03775570403063428,0.0339154269959452,0.21172912607539507,-1.4627025351975007,0.003840277034689081,0.0003840277034689081,0.6666666666666666
4.0,48,0.2,0.036492185057586564,0.0333133456474967,1.6185504946068525,-3.799381319526979,0.0031788394100898607,0.0006357678820179722,0.6666666666666666
4.0,48,0.3,0.03439920953526117,0.0321157904505505,1.3794499901656625,-6.685159568477811,0.002283419084710671,0.0006850257254132012,0.6666666666666666
4.0,48,0.4,0.03286545263515415,0.0307744154819389,-1.1088876337352225,-10.794044915201793,0.0020910371532152465,0.0008364148612860986,0.6666666666666666
4.0,56,0.0,0.04334439611557354,0.0360843918243516,3.7948751816175417,-1.6751474691632442,0.007260004291221936,0.0,0.7777777777777778
4.0,56,0.1,0.04273712333457285,0.0358651129078462,2.696318883377606,-2.2577236780182828,0.006872010426726652,0.0006872010426726652,0.7777777777777778
4.0,56,0.2,0.042448070721222114,0.0358614000822791,3.659876873762421,-4.20567546144824,0.006586670638943012,0.0013173341277886025,0.7777777777777778
4.0,56,0.3,0.038540347642777605,0.0339169757981854,1.7625906167486562,-5.6341520358259665,0.004623371844592203,0.0013870115533776608,0.7777777777777778
4.0,56,0.4,0.03629289104815995,0.0325837812268567,0.8681838126494023,-5.98980616263573,0.0037091098213032497,0.0014836439285213,0.7777777777777778
4.0,64,0.0,0.05189072346981225,0.0385246883486812,6.169973179025853,-1.8703984896270962,0.013366035121131048,0.0,0.8888888888888888
4.0,64,0.1,0.04904091486086767,0.038153117216331,5.189588308470796,-1.9143131130855588,0.010887797644536665,0.0010887797644536666,0.8888888888888888
4.0,64,0.2,0.04748120685895207,0.0369562316081898,5.533026367619197,-3.452641994252184,0.010524975250762264,0.002104995050152453,0.8888888888888888
4.0,64,0.3,0.04700834133643633,0.0362770355696942,3.5028271654694856,-3.499052628942477,0.010731305766742132,0.0032193917300226394,0.8888888888888888
4.0,64,0.4,0.038511309454985244,0.0332893207711791,2.1413353651764933,2.994484825846538,0.0052219886838061474,0.002088795473522459,0.8888888888888888
4.0,72,0.0,0.0499348182519422,0.0380362887156365,3.981743056368676,-1.4193753191315441,0.0118985295363057,0.0,1.0
4.0,72,0.1,0.04939821318863249,0.037554652263564,4.052878746572491,-1.4898645007802378,0.01184356092506849,0.001184356092506849,1.0
4.0,72,0.2,0.04734616102841011,0.0367683761087647,2.6766878171393405,3.72699852451937,0.010577784919645415,0.002115556983929083,1.0
4.0,72,0.3,0.04560665930365284,0.0356748742287585,2.3654032392043702,5.002380019690393,0.00993178507489434,0.002979535522468302,1.0
